# ASDA_CorporateDefaults_Teaching_2026.csv
#
# SIMULATED TEACHING DATASET - not real borrower data.
#
# Applied Statistical Data Analysis (FIN), FHNW School of Business
# Module 11: Binary Dependent Variables - the probit default example
#
# 2000 simulated corporate borrowers, 60 of them defaulting within the year
# (3.0%), calibrated so that the estimated probit is the one printed in the
# module:
#
#     default ~ Phi(-1.65 + 2.00*leverage - 0.10*icr)
#
# so the two worked borrowers on the slide come out exactly: leverage 20% with
# an interest coverage of 8 gives an index of -2.05 and a default probability of
# 2.0%, leverage 65% with a coverage of 1.5 gives -0.50 and 30.9%.
#
# The outcome column was constructed - not drawn - so that the maximum
# likelihood estimates land on the printed coefficients. Borrowers are
# numbered, not named, because they are not real borrowers.
#
# columns
#   borrower_id   anonymous borrower label
#   default       1 = defaulted within the year, 0 = did not
#   leverage      debt over assets, share between 0 and 1
#   icr           interest coverage ratio, EBIT over interest expense
#
borrower_id,default,leverage,icr
B1182,0,0.4107,22.095
B1218,0,0.1113,7.789
B1451,0,0.5259,10.803
B1235,0,0.397,9.327
B1799,0,0.436,11.817
B1032,0,0.4059,11.417
B0116,0,0.6409,15.471
B1856,0,0.418,12.903
B1255,0,0.2988,17.576
B0358,0,0.179,11.925
B0221,0,0.2877,12.628
B0845,0,0.1243,10.992
B0646,0,0.1551,5.268
B0701,0,0.35,7.692
B1171,0,0.3719,12.619
B1349,0,0.2588,5.886
B0634,0,0.2574,13.048
B1503,0,0.4045,18.624
B0753,0,0.2975,15.809
B0082,0,0.1495,3.397
B1547,0,0.3065,10.529
B0165,0,0.3637,12.049
B0331,0,0.4618,19.789
B1266,0,0.2173,29.677
B0035,0,0.2168,6.197
B1179,0,0.1643,5.528
B0083,0,0.4193,21.361
B1308,0,0.3511,11.616
B0596,0,0.2212,8.57
B0812,0,0.4828,10.146
B0858,0,0.4202,11.436
B0399,0,0.2873,4.068
B0070,0,0.2836,12.556
B1841,0,0.2237,5.716
B0510,0,0.3858,12.784
B1244,0,0.393,8.886
B1914,0,0.5394,15.018
B1274,0,0.2448,12.525
B0533,0,0.3865,4.412
B0341,0,0.3275,5.966
B1197,0,0.5076,9.816
B0902,0,0.4901,14.892
B0918,0,0.253,11.336
B1151,0,0.2013,12.655
B0628,0,0.3659,16.833
B1881,0,0.2499,3.865
B0278,0,0.3771,8.987
B0791,0,0.1917,12.836
B0274,0,0.0766,12.451
B0585,0,0.2834,8.015
B1232,0,0.4757,6.804
B0247,0,0.3149,4.337
B1754,0,0.1383,10.496
B0451,0,0.5477,5.517
B1910,0,0.1504,5.337
B0682,0,0.1751,5.175
B0053,0,0.4059,16.458
B1980,0,0.4733,7.813
B1422,0,0.1933,11.067
B0572,0,0.3412,12.567
B1651,0,0.2616,12.645
B1513,0,0.1387,21.321
B0291,0,0.3932,17.636
B1462,1,0.4606,5.589
B0767,0,0.3882,6.812
B0043,0,0.0519,8.839
B0027,0,0.4322,10.857
B0106,0,0.4571,7.358
B1310,0,0.2134,3.936
B1671,0,0.4458,13.362
B0706,0,0.3476,11.873
B0429,0,0.1785,7.224
B0969,0,0.3072,7.759
B1211,0,0.3773,11.037
B0476,0,0.2712,16.023
B1345,0,0.1614,13.997
B1414,0,0.3654,10.402
B1584,0,0.5654,18.621
B1268,0,0.3726,30.0
B0611,0,0.2999,5.835
B0883,0,0.4305,10.011
B0602,0,0.2433,11.977
B1562,0,0.3562,12.953
B1918,0,0.1315,7.407
B1866,0,0.2253,14.163
B0934,0,0.4326,4.098
B0862,0,0.4543,16.103
B1086,0,0.186,18.925
B0529,0,0.2641,7.162
B0439,0,0.1609,9.788
B1339,0,0.1791,29.836
B0117,0,0.2723,6.679
B1485,0,0.4444,11.342
B0982,0,0.02,9.759
B0457,0,0.408,15.328
B0811,0,0.2085,10.464
B0571,0,0.4119,11.486
B1857,0,0.1933,7.359
B1949,0,0.1175,13.453
B0179,0,0.3533,11.117
B1062,0,0.2233,9.239
B1260,0,0.1281,8.607
B1585,0,0.1753,17.645
B0976,0,0.3831,8.828
B1463,0,0.2639,11.115
B0277,0,0.3211,12.964
B1696,0,0.3445,9.506
B0470,0,0.3286,12.351
B0306,0,0.4242,4.683
B1687,0,0.1572,15.077
B1140,0,0.4376,5.788
B1146,0,0.2996,5.676
B0554,0,0.4607,7.472
B0113,0,0.02,6.933
B1000,0,0.4269,6.309
B0258,0,0.2549,3.451
B0297,0,0.3883,9.42
B1840,0,0.4361,6.616
B0313,0,0.4065,13.43
B0849,0,0.23,12.208
B0322,0,0.1623,6.442
B1676,0,0.3169,4.556
B1830,0,0.3094,7.172
B1023,0,0.2281,9.136
B0956,0,0.4286,30.0
B0372,0,0.3877,7.873
B1460,0,0.2009,7.866
B1249,0,0.3075,10.969
B0702,0,0.02,6.984
B1929,0,0.3395,13.691
B1937,0,0.2316,9.93
B0879,0,0.275,5.433
B0441,0,0.1689,14.027
B1078,0,0.2253,8.366
B1484,0,0.0231,8.006
B1997,0,0.0276,9.324
B0214,0,0.098,12.756
B0517,0,0.527,9.879
B1366,0,0.1759,8.958
B0676,0,0.1603,12.379
B1319,0,0.1692,9.524
B1375,0,0.0949,14.555
B1481,0,0.3694,16.838
B1137,0,0.3148,6.937
B1204,0,0.2577,17.424
B1740,0,0.1702,17.381
B1897,0,0.2733,5.121
B0761,0,0.6151,8.406
B0361,0,0.2454,5.794
B0997,0,0.1533,17.717
B1199,0,0.4011,4.93
B1227,0,0.2276,12.8
B1819,0,0.272,9.99
B0001,0,0.1032,9.936
B1573,0,0.5525,6.605
B1788,0,0.3117,3.176
B1412,0,0.3189,13.003
B1071,0,0.162,11.058
B0779,0,0.3695,7.169
B0986,0,0.02,12.667
B0766,0,0.1348,18.587
B1775,0,0.3801,7.562
B0500,0,0.1199,10.726
B0729,0,0.2032,9.587
B0686,0,0.2342,4.377
B0947,0,0.1915,2.061
B0763,0,0.0345,11.563
B0201,0,0.1923,18.292
B1051,0,0.039,7.992
B1748,0,0.4085,3.293
B1938,0,0.3288,8.55
B1812,0,0.2208,21.334
B0153,0,0.4451,9.61
B1967,0,0.2903,22.324
B0563,0,0.3902,17.054
B0428,0,0.3107,9.23
B0162,0,0.2779,9.302
B0307,0,0.3251,4.447
B0007,0,0.3222,5.581
B0551,0,0.3924,4.992
B1789,0,0.2544,3.377
B1796,0,0.1193,5.205
B0828,0,0.1217,21.874
B0559,0,0.2866,10.146
B1394,0,0.2772,7.362
B0234,0,0.3403,17.391
B1185,0,0.4684,14.124
B0101,1,0.2983,4.812
B0639,0,0.4596,7.296
B1475,0,0.0585,4.182
B0842,0,0.6911,9.029
B1778,0,0.248,7.026
B1919,0,0.3388,8.276
B1175,0,0.287,6.898
B0550,0,0.1599,16.362
B0854,0,0.3782,11.661
B1596,0,0.5005,12.697
B0605,0,0.2724,27.615
B1590,0,0.1703,7.126
B0147,0,0.4132,6.299
B0745,0,0.2051,9.839
B0033,0,0.2502,7.454
B0644,0,0.1485,24.71
B0474,0,0.2934,14.156
B0416,0,0.3964,9.938
B0953,0,0.2818,19.217
B1282,0,0.3111,15.542
B0437,0,0.2774,15.077
B0688,0,0.3295,11.187
B1588,0,0.338,9.682
B0223,0,0.2871,3.126
B0084,0,0.303,26.202
B1036,0,0.2731,16.441
B1728,0,0.4821,23.364
B1131,0,0.3712,3.525
B1625,0,0.3873,4.425
B1435,0,0.119,6.069
B0418,0,0.2995,11.06
B1820,0,0.242,4.879
B1133,0,0.2425,7.535
B0875,0,0.1837,17.666
B0857,0,0.4151,18.294
B1389,0,0.2585,8.391
B1757,0,0.0839,5.193
B1383,0,0.0347,6.001
B0724,0,0.4162,8.89
B0453,0,0.4636,13.79
B1528,0,0.0323,5.267
B1454,0,0.377,6.219
B0478,1,0.451,6.088
B0954,0,0.5735,10.718
B1294,0,0.3149,8.773
B1279,0,0.272,10.104
B0059,0,0.4537,7.102
B1357,0,0.3551,8.361
B1253,0,0.1731,11.229
B1903,0,0.3579,9.686
B1540,0,0.3387,13.519
B0670,0,0.3193,9.075
B1003,0,0.2855,13.251
B1734,0,0.2391,11.208
B0477,0,0.3105,8.477
B0817,0,0.3892,7.753
B1142,0,0.2831,8.689
B1870,0,0.1365,9.642
B0665,0,0.2132,6.344
B1183,0,0.5405,4.501
B0242,0,0.3313,20.643
B0967,0,0.179,16.059
B1850,0,0.3239,7.145
B1270,0,0.2264,13.742
B1742,0,0.3481,6.308
B0330,0,0.5867,13.145
B0874,0,0.4071,17.816
B1875,0,0.3659,10.111
B0298,0,0.214,13.425
B0898,0,0.0706,6.315
B0020,0,0.2533,10.37
B1600,0,0.3375,11.052
B1077,0,0.02,16.542
B0726,0,0.3269,18.253
B0519,0,0.1956,10.838
B0505,0,0.1855,3.024
B0415,0,0.2078,10.83
B0312,0,0.2235,18.544
B0257,0,0.2562,6.979
B0019,0,0.1646,10.409
B0112,0,0.417,17.646
B0927,0,0.261,6.422
B0482,0,0.2612,7.0
B0618,0,0.2529,4.548
B1871,0,0.4351,9.377
B1504,0,0.4507,5.301
B0196,0,0.3738,11.366
B0217,0,0.3727,7.252
B0889,0,0.212,9.886
B0347,0,0.279,6.279
B0887,1,0.325,7.42
B1139,0,0.1517,3.966
B1643,0,0.4411,7.539
B1828,0,0.3349,8.726
B0202,0,0.1148,15.919
B1455,0,0.239,9.654
B1849,0,0.2746,9.213
B1431,0,0.2958,30.0
B0412,0,0.4136,7.742
B0422,0,0.5469,9.858
B1469,0,0.0528,7.123
B0780,0,0.4234,7.572
B1380,0,0.4465,16.14
B0824,0,0.3158,13.477
B0180,0,0.4373,6.047
B0797,0,0.3379,11.578
B1623,0,0.4661,6.427
B0095,0,0.3614,12.531
B0796,0,0.2821,14.876
B1403,0,0.2353,4.277
B1116,0,0.2433,10.297
B1599,1,0.4926,16.803
B1275,0,0.2053,16.674
B1246,0,0.3807,19.356
B1353,0,0.3572,18.974
B0286,0,0.2842,7.407
B1889,0,0.0713,5.236
B0890,0,0.2564,18.366
B1733,0,0.3108,5.48
B0455,0,0.2972,6.772
B0516,0,0.3911,2.542
B0937,0,0.2685,13.591
B0576,0,0.4089,5.071
B1682,0,0.1881,9.52
B0041,0,0.1118,28.147
B0024,0,0.2451,12.253
B0052,0,0.3442,7.815
B0531,0,0.5196,4.863
B0018,0,0.3066,8.447
B1286,0,0.2898,6.207
B1243,0,0.4376,10.079
B0445,0,0.269,12.315
B0005,0,0.1594,16.971
B0662,0,0.61,6.888
B0509,0,0.4197,5.113
B1537,0,0.2093,7.985
B1629,0,0.2524,11.942
B0943,0,0.2112,10.8
B1579,0,0.2563,9.163
B0163,0,0.2256,8.057
B1158,0,0.2673,14.595
B1885,0,0.2337,8.815
B0209,0,0.3699,6.107
B1927,0,0.3355,5.442
B1512,0,0.1681,11.903
B0595,0,0.4768,9.61
B1104,0,0.1949,10.77
B0698,0,0.2068,20.854
B1091,0,0.456,6.682
B0249,0,0.3552,7.895
B0158,0,0.2648,5.069
B1225,0,0.4213,10.647
B0542,0,0.2662,13.038
B1117,0,0.2436,15.845
B0022,0,0.3358,6.135
B1173,0,0.2164,9.444
B0187,0,0.4181,5.599
B0751,0,0.0823,11.29
B1800,0,0.415,5.901
B0579,0,0.4228,10.423
B0387,0,0.1891,7.096
B0499,0,0.1699,13.326
B0658,0,0.343,6.848
B1280,0,0.2873,9.415
B1570,0,0.2847,10.086
B0133,0,0.4304,7.175
B0565,0,0.4035,9.719
B1334,0,0.4483,9.494
B1656,0,0.3516,7.037
B0079,0,0.3262,3.922
B1633,0,0.2562,6.144
B0137,0,0.0763,4.803
B1649,0,0.5387,9.752
B0204,0,0.5363,8.139
B0663,0,0.3998,14.713
B1831,0,0.3272,23.479
B1059,0,0.2814,4.925
B0625,0,0.2813,8.482
B0912,0,0.3886,11.122
B1587,0,0.3114,19.217
B0584,0,0.041,13.916
B0680,0,0.2363,8.147
B1954,0,0.1675,3.28
B0205,0,0.2435,6.123
B1739,0,0.402,13.318
B1948,0,0.1991,5.748
B1360,0,0.4031,16.819
B1774,0,0.2917,5.753
B0979,0,0.3506,7.744
B0655,0,0.4217,12.539
B0376,0,0.264,9.143
B1915,0,0.4207,5.086
B1393,0,0.2707,19.191
B1338,0,0.2227,3.938
B0557,0,0.222,7.31
B1098,0,0.372,6.921
B1634,0,0.313,4.895
B1802,0,0.1606,7.038
B1118,0,0.4803,8.283
B0835,0,0.2577,5.97
B0184,0,0.138,5.178
B0558,0,0.4126,14.938
B1868,0,0.1944,8.639
B0130,0,0.048,9.267
B1325,0,0.2403,4.787
B0807,0,0.1152,12.438
B1614,0,0.4819,17.023
B0086,0,0.1449,15.457
B0626,0,0.32,7.908
B0526,0,0.498,7.807
B1149,0,0.3052,5.741
B1499,0,0.2367,8.702
B0228,0,0.4965,6.007
B1904,0,0.1583,9.713
B0464,0,0.4082,10.587
B1859,0,0.1112,7.602
B0290,0,0.4852,7.469
B0127,0,0.5716,8.157
B0010,0,0.2069,16.672
B0493,0,0.4697,18.329
B1382,0,0.3015,10.276
B0092,0,0.3861,9.418
B1048,1,0.1238,6.311
B1105,0,0.2867,11.476
B1893,0,0.3408,5.276
B1899,0,0.2157,10.404
B1956,0,0.355,3.762
B0169,0,0.3396,9.143
B1724,0,0.4494,12.176
B0410,0,0.4036,11.372
B0352,0,0.1672,22.068
B1186,0,0.2848,6.305
B1984,0,0.312,10.908
B0468,0,0.4238,12.069
B1714,1,0.3979,3.897
B1721,0,0.5112,6.037
B0973,0,0.4758,6.695
B0119,0,0.391,13.552
B1124,0,0.2308,4.84
B0067,0,0.348,5.318
B1794,0,0.3751,7.489
B1241,0,0.3358,3.454
B0327,0,0.2553,15.901
B0094,0,0.1919,16.452
B0152,0,0.2084,10.353
B1545,0,0.2655,7.803
B0661,0,0.0499,9.692
B0366,0,0.056,8.654
B1424,0,0.2991,4.918
B0536,0,0.3796,17.267
B1303,0,0.4735,9.17
B1603,0,0.2947,16.838
B1985,0,0.2511,9.392
B1689,0,0.3102,9.553
B1888,0,0.305,9.818
B0109,0,0.2948,5.412
B0333,0,0.2978,11.037
B0436,0,0.26,6.213
B0990,0,0.4209,6.125
B1297,0,0.3542,9.146
B0149,0,0.3951,12.559
B0220,0,0.4785,8.721
B1127,0,0.2585,25.366
B0972,0,0.3693,4.864
B0496,0,0.4693,10.12
B1723,0,0.2795,18.72
B0484,0,0.3643,16.427
B0320,0,0.2417,13.857
B0847,0,0.0739,23.741
B1741,0,0.1152,15.563
B0739,0,0.4383,6.049
B1890,0,0.4312,6.044
B0398,0,0.138,7.573
B1488,0,0.301,4.357
B0054,0,0.1374,6.707
B0142,0,0.3503,11.276
B0792,0,0.1588,13.381
B0809,0,0.3559,17.951
B0110,0,0.247,9.055
B0396,0,0.4524,4.657
B1755,0,0.2054,10.282
B0527,0,0.5386,7.905
B1190,0,0.321,6.928
B0935,0,0.462,10.889
B0488,0,0.4002,8.082
B1398,0,0.2866,5.879
B0316,0,0.398,6.688
B0489,0,0.1997,6.886
B1717,0,0.0597,14.399
B1663,0,0.2051,12.061
B1737,0,0.3258,7.331
B1396,0,0.4605,5.497
B0400,0,0.4435,16.059
B0523,0,0.1858,16.376
B1502,0,0.2018,12.43
B1884,0,0.2019,14.993
B1544,0,0.1597,13.813
B0025,0,0.3199,7.273
B1568,0,0.395,12.462
B1749,0,0.2722,7.464
B1790,0,0.4432,12.018
B1858,0,0.3576,13.16
B1034,0,0.3696,10.429
B0036,0,0.2672,18.405
B0071,0,0.076,5.427
B0037,0,0.3355,12.727
B1387,0,0.4338,5.06
B0417,0,0.3705,30.0
B0641,0,0.3201,12.769
B1031,0,0.02,7.589
B1174,0,0.3645,17.065
B0696,0,0.4138,23.517
B1998,0,0.2712,5.054
B1848,0,0.0817,12.252
B1264,0,0.3535,30.0
B0309,0,0.4436,8.024
B0974,0,0.4109,4.839
B0012,0,0.3646,6.623
B1525,0,0.397,8.004
B1354,0,0.2235,10.561
B0266,0,0.3308,11.798
B0344,0,0.2952,25.012
B0385,0,0.5577,9.373
B0066,1,0.3582,7.543
B0538,0,0.2115,4.158
B1097,0,0.122,6.816
B0944,0,0.2809,12.599
B0525,0,0.1655,10.883
B1337,0,0.3055,11.581
B1624,0,0.436,10.357
B0540,0,0.375,11.723
B1646,0,0.3206,5.657
B0392,0,0.1883,11.531
B1359,0,0.3771,4.57
B0681,0,0.5058,16.828
B1738,0,0.3365,12.993
B1035,0,0.1386,19.416
B0810,0,0.2746,8.888
B1168,0,0.3524,7.463
B1684,0,0.3921,24.397
B0462,0,0.2246,7.834
B0924,0,0.2278,9.555
B0044,0,0.4079,24.872
B0975,0,0.3179,10.224
B0868,0,0.2516,12.192
B0904,0,0.1475,16.33
B0723,0,0.2911,20.116
B1926,0,0.4734,7.795
B1490,0,0.2174,5.935
B1082,0,0.2603,11.016
B0695,0,0.02,10.82
B0176,0,0.176,22.559
B0666,0,0.5004,20.177
B1688,0,0.3992,4.959
B1804,0,0.2442,9.941
B1514,0,0.0882,7.791
B1597,0,0.1249,18.364
B0002,0,0.2394,13.281
B1678,0,0.6212,5.955
B0692,0,0.3278,2.865
B0987,0,0.1301,9.002
B0771,0,0.3027,17.615
B1654,0,0.2496,11.333
B1846,0,0.3852,11.088
B0425,0,0.2769,14.449
B0597,0,0.6102,20.848
B0199,0,0.4066,10.859
B1940,0,0.2322,5.166
B1750,0,0.4666,10.897
B1853,0,0.3823,7.143
B1420,0,0.1542,4.306
B1529,0,0.1852,9.387
B0356,1,0.4052,7.891
B1598,0,0.3193,12.821
B0271,0,0.1917,13.633
B1014,0,0.2348,8.057
B1060,0,0.3032,15.899
B0264,0,0.167,12.574
B0182,0,0.264,18.251
B1992,0,0.3485,10.571
B0104,0,0.529,9.725
B0293,0,0.2447,30.0
B0581,0,0.3938,4.264
B0632,0,0.1925,9.787
B1935,0,0.2425,11.5
B1085,0,0.455,18.74
B0750,0,0.2771,5.135
B0992,0,0.3585,18.92
B1777,0,0.3373,6.08
B0872,0,0.4914,16.793
B1017,0,0.2438,5.246
B0940,0,0.4669,4.817
B0200,0,0.3605,13.911
B0432,0,0.1092,4.789
B0985,0,0.2682,9.029
B0813,0,0.4171,11.663
B1370,0,0.2817,9.564
B1837,0,0.1644,15.959
B0789,0,0.4384,7.366
B0553,0,0.202,12.056
B1438,0,0.099,11.223
B0914,0,0.2379,7.526
B1548,0,0.3724,10.926
B1601,0,0.3062,6.25
B0206,0,0.1335,14.901
B1224,0,0.408,11.284
B0393,1,0.4964,13.206
B0915,0,0.4237,5.622
B0146,0,0.1202,11.988
B1079,0,0.3287,3.065
B1362,0,0.4892,4.336
B1593,0,0.2468,21.578
B1405,0,0.2078,10.484
B0736,0,0.1677,5.402
B1863,0,0.4448,11.921
B0040,0,0.4047,4.577
B1212,0,0.6431,9.512
B0034,0,0.3245,12.153
B0699,0,0.3358,14.184
B1148,0,0.3339,6.43
B1558,0,0.5252,9.644
B1022,0,0.3309,16.674
B0239,0,0.5045,7.962
B0207,0,0.1063,6.132
B1122,0,0.1018,11.055
B0374,0,0.1004,6.147
B0013,0,0.409,5.342
B1015,0,0.3128,3.703
B0806,0,0.2137,8.224
B0154,1,0.1725,7.268
B1602,0,0.2669,11.523
B1342,0,0.2534,16.323
B1194,0,0.4449,8.418
B0631,0,0.238,8.48
B0261,0,0.3977,4.709
B0472,0,0.1255,2.843
B1844,0,0.1617,27.806
B1618,1,0.2778,5.649
B0308,0,0.3639,4.798
B1042,0,0.0701,11.765
B0232,0,0.2676,4.538
B1443,0,0.3015,4.55
B0932,0,0.4615,10.264
B0775,0,0.2866,8.277
B1471,0,0.2963,13.645
B1094,0,0.3362,6.667
B0991,0,0.1439,4.307
B0031,0,0.329,12.199
B1783,0,0.2673,6.479
B1817,0,0.4415,12.832
B1586,0,0.4635,6.108
B0888,0,0.383,11.299
B1642,0,0.4402,15.137
B1216,0,0.2831,7.853
B0252,0,0.5349,9.965
B0891,0,0.02,9.71
B0562,0,0.5312,8.701
B0603,0,0.29,3.744
B0863,0,0.1205,12.216
B0592,0,0.128,12.103
B1765,0,0.4715,30.0
B1930,0,0.2607,8.687
B0511,1,0.475,10.657
B1425,0,0.3664,2.9
B1567,0,0.2829,3.628
B1944,0,0.2788,12.344
B0151,0,0.3708,6.362
B1923,0,0.3736,12.594
B1332,0,0.2871,15.507
B0567,0,0.1329,5.911
B1311,0,0.2227,9.867
B1222,0,0.5479,11.599
B0769,0,0.1065,8.608
B0946,0,0.3617,10.977
B1363,0,0.3829,7.361
B1883,0,0.2204,5.56
B0314,0,0.3798,15.908
B0355,0,0.1163,8.019
B1797,0,0.2033,8.874
B0822,0,0.2906,18.998
B0335,0,0.1309,7.81
B0575,0,0.5044,4.534
B0783,0,0.5978,11.952
B1169,0,0.1919,4.671
B1314,0,0.1846,3.881
B1823,0,0.3269,21.726
B1107,0,0.2077,19.074
B1193,0,0.5339,5.221
B0235,0,0.5082,3.891
B0143,1,0.3638,8.111
B0608,0,0.1498,13.58
B1341,0,0.0765,4.912
B0056,0,0.1957,10.323
B1111,0,0.1929,13.398
B0195,0,0.3724,8.13
B1706,0,0.1692,8.521
B0267,0,0.3679,8.062
B1434,1,0.3651,3.78
B1854,0,0.3228,3.797
B1683,0,0.0864,14.415
B1044,0,0.2267,8.029
B0765,1,0.4236,10.841
B1152,0,0.4077,8.302
B1958,0,0.2803,5.922
B0440,0,0.2037,10.602
B0587,0,0.3085,30.0
B1358,0,0.5017,4.134
B1129,0,0.2979,8.373
B0785,0,0.2815,12.514
B0909,0,0.5735,14.172
B1983,0,0.2111,11.515
B0978,0,0.3147,14.111
B0645,0,0.2991,12.136
B1306,0,0.3045,10.78
B1101,0,0.1557,10.447
B0049,0,0.4933,10.451
B1415,0,0.4042,5.836
B0045,0,0.4194,21.804
B0795,0,0.5159,3.81
B0292,0,0.3367,10.625
B0097,0,0.1615,11.303
B0435,0,0.2281,12.622
B0138,0,0.4634,19.26
B0009,0,0.0953,5.963
B1239,0,0.3502,6.629
B1554,0,0.1254,8.34
B0911,0,0.3676,29.565
B1784,0,0.4473,16.677
B1446,0,0.4153,3.519
B0864,0,0.2136,6.377
B0566,0,0.2954,14.559
B1356,0,0.4192,7.522
B1410,0,0.3058,5.764
B0469,0,0.2635,3.772
B1507,0,0.2818,7.536
B0843,0,0.1884,30.0
B0730,0,0.1067,5.622
B0747,0,0.3432,7.445
B0413,0,0.0827,4.445
B0105,0,0.1317,11.771
B1304,0,0.238,15.512
B1705,0,0.3133,19.497
B1326,0,0.2908,23.285
B0348,0,0.2333,4.294
B0720,0,0.118,10.01
B0993,0,0.4803,10.261
B1861,0,0.2938,7.545
B0288,0,0.3011,6.76
B0254,0,0.4016,6.09
B0534,0,0.3011,17.53
B0886,0,0.4306,4.548
B0048,0,0.2358,12.367
B1690,0,0.4451,9.012
B1839,1,0.2636,7.858
B1285,0,0.2989,21.893
B0919,0,0.3202,6.805
B1922,0,0.02,14.393
B1692,0,0.3677,19.531
B1162,0,0.02,16.115
B1791,0,0.3337,6.155
B0600,0,0.2894,8.6
B0651,0,0.2795,18.358
B1934,0,0.317,17.76
B0177,0,0.0746,6.982
B0126,0,0.174,7.509
B0382,0,0.2304,13.941
B0659,0,0.375,20.319
B0801,0,0.4757,5.846
B0438,0,0.2069,10.178
B0050,0,0.4135,6.226
B1960,0,0.2298,9.582
B1209,0,0.2347,11.135
B1506,0,0.2233,15.224
B1391,0,0.2864,5.218
B1373,0,0.02,9.583
B0229,0,0.3703,8.309
B0619,0,0.3908,4.898
B1966,0,0.4663,13.656
B0369,0,0.3375,8.101
B1013,0,0.1155,6.964
B0473,0,0.1506,7.546
B0141,0,0.1108,7.475
B0836,0,0.3189,8.294
B0039,0,0.3217,13.547
B0697,1,0.3186,3.012
B1508,0,0.5778,9.874
B0224,0,0.3618,14.583
B0403,0,0.3744,13.748
B1628,0,0.1856,12.274
B1999,0,0.134,7.495
B0518,0,0.4891,4.456
B1518,0,0.3159,7.814
B1123,0,0.1984,6.382
B1292,0,0.4023,9.747
B0304,0,0.1487,8.754
B0622,0,0.3109,20.358
B0764,1,0.2565,8.202
B0657,1,0.343,5.181
B1119,0,0.3512,9.78
B1620,0,0.1945,8.198
B1763,0,0.1842,8.808
B0755,0,0.1994,7.048
B1201,0,0.1825,5.305
B1187,0,0.2549,10.209
B1448,0,0.2246,12.446
B0793,0,0.0862,8.515
B0539,0,0.4203,19.133
B1496,0,0.3188,19.34
B0241,1,0.3246,4.3
B0851,0,0.3426,10.045
B1445,0,0.5119,5.179
B1099,1,0.4423,8.106
B0408,0,0.3472,8.789
B0906,0,0.351,16.032
B0227,0,0.3521,9.216
B1493,0,0.367,30.0
B0691,0,0.268,17.748
B1287,0,0.2908,20.595
B0850,0,0.1557,22.243
B0784,0,0.4313,4.393
B0794,0,0.3437,3.764
B1378,0,0.4241,12.073
B1613,0,0.1165,5.633
B0452,0,0.3822,11.29
B1346,0,0.3842,4.252
B1509,0,0.4415,6.087
B0623,0,0.4965,6.408
B1653,0,0.4139,6.988
B1128,0,0.1038,6.478
B1691,0,0.3201,3.095
B1764,0,0.2771,5.325
B1887,0,0.1263,5.71
B0734,0,0.224,8.802
B0208,0,0.1745,11.897
B0994,0,0.2496,5.764
B1205,0,0.3119,9.661
B2000,0,0.3097,7.053
B1120,0,0.3835,8.664
B1300,0,0.3408,13.333
B1729,0,0.2843,20.644
B0365,0,0.3059,6.218
B1674,0,0.1861,16.57
B1551,1,0.2206,8.661
B0555,0,0.1091,6.365
B1842,0,0.401,5.179
B1198,0,0.2894,4.823
B1556,0,0.4566,11.706
B1247,0,0.2907,8.032
B1981,0,0.21,2.053
B1639,0,0.1139,16.784
B1250,0,0.426,23.421
B1385,0,0.2337,7.777
B1824,0,0.2442,3.392
B1331,0,0.0656,17.708
B0329,0,0.201,8.059
B0281,0,0.1695,3.285
B0381,0,0.3098,6.069
B0442,0,0.3697,9.443
B0444,0,0.3192,6.697
B1172,0,0.4701,4.665
B1065,0,0.1085,11.002
B1328,0,0.1587,20.261
B1374,0,0.2446,11.004
B0380,0,0.4073,11.672
B1407,0,0.3377,5.731
B1495,0,0.3134,6.108
B1008,0,0.4451,6.893
B1054,0,0.2184,8.56
B0303,0,0.2756,14.323
B0624,0,0.3647,5.289
B1659,0,0.4629,6.279
B1367,0,0.2435,26.522
B0042,0,0.2212,11.608
B1196,0,0.4026,12.702
B1932,0,0.2825,9.176
B1263,0,0.3145,9.902
B0981,0,0.2202,11.724
B0192,0,0.2134,10.949
B0687,0,0.2301,14.43
B0255,0,0.3857,5.576
B0248,0,0.4136,20.09
B1720,0,0.3626,11.755
B1237,1,0.3808,8.277
B0269,0,0.6276,6.662
B0677,0,0.2222,5.966
B1555,0,0.3465,12.068
B1141,0,0.1162,3.589
B1987,0,0.425,5.573
B1248,0,0.4362,6.425
B0552,0,0.3361,21.968
B0609,0,0.3598,15.274
B0630,0,0.3532,12.946
B0028,0,0.3514,12.147
B0669,1,0.3719,5.918
B1950,0,0.2211,3.284
B0598,0,0.3899,15.929
B0537,0,0.266,15.946
B0716,0,0.2049,11.698
B1770,0,0.4,5.274
B0642,1,0.3289,4.359
B0740,0,0.2351,10.007
B0731,0,0.2063,14.507
B0777,0,0.3441,11.322
B1102,0,0.413,6.504
B0746,0,0.02,23.379
B1838,0,0.1843,6.772
B1619,0,0.2279,19.336
B1057,0,0.3208,9.663
B0541,0,0.0738,8.287
B1390,0,0.3644,6.307
B0733,0,0.3852,10.861
B1351,0,0.3433,10.012
B0589,0,0.2127,9.774
B0878,0,0.0998,9.245
B0394,0,0.0917,6.093
B0370,0,0.4531,8.374
B1049,0,0.2404,15.086
B0285,0,0.369,12.076
B0414,0,0.3557,13.981
B1150,0,0.1765,4.852
B1230,0,0.4052,10.745
B1631,1,0.4315,8.142
